baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CmasM_1,CmasM_2,pEhEx_1,pEhEx_2,CmasM_1.1,CmasM_2.1,pEhEx_1.1,pEhEx_2.1,Certeza,DE,
EHI_140360A,12.94128266,0.212589259,0.925560542,0.229687037,0.818334968,0.999901938,15,10,23,7,17.80733917,10.21797436,15.86451621,7.875300898,0.01,DOWN_pEhEx_UP_CmasM
EHI_140370A,19023.47312,0.358319757,0.371526207,0.964453517,0.334818602,0.999901938,20476,18046,22786,15670,24308.20513,18439.35653,15716.90723,17629.42358,0.01,DOWN_pEhEx_UP_CmasM
EHI_140500A,15.46707451,-0.562184253,0.816755421,-0.688314076,0.491255019,0.999901938,9,14,29,15,10.6844035,14.3051641,20.00308566,16.87564478,0.01,UP_pEhEx_DOWN_CmasM
EHI_140510A,41.14391089,-0.042103113,0.570905519,-0.073747952,0.941210942,0.999901938,34,40,67,33,40.36330213,40.87189744,46.21402548,37.12641852,0.01,UP_pEhEx_DOWN_CmasM
EHI_140520A,162.5586783,0.57589054,0.428998805,1.342405929,0.179464413,0.999901938,184,167,178,123,218.4366939,170.6401718,122.7775602,138.3802872,0.01,DOWN_pEhEx_UP_CmasM
EHI_140550A,2657.27952,-0.955377118,0.745159247,-1.282111337,0.199803592,0.999901938,395,3080,4183,3669,468.9265983,3147.136103,2885.272666,4127.782714,0.01,UP_pEhEx_DOWN_CmasM
EHI_140560A,8.930161471,0.572383305,1.103013606,0.518926786,0.603811798,0.999901938,13,6,14,4,15.43302728,6.130784616,9.656662041,4.500171942,0.01,DOWN_pEhEx_UP_CmasM
EHI_140590A,428.7621409,0.071565108,0.433516667,0.165080409,0.868880693,0.999901938,418,374,479,450,496.231185,382.1522411,330.3957941,506.2693434,0.01,DOWN_pEhEx_UP_CmasM
EHI_140610A,212.2792621,0.38380995,0.427668962,0.897446352,0.369480788,0.999901938,238,194,260,168,282.5431149,198.2287026,179.3380093,189.0072216,0.01,DOWN_pEhEx_UP_CmasM
EHI_140650A,42.5465399,0.670658622,0.595548469,1.126119294,0.260115028,0.999901938,53,41,54,25,62.91926508,41.89369488,37.24712501,28.12607464,0.01,DOWN_pEhEx_UP_CmasM
EHI_140660A,106.6548359,-0.485652757,0.741431719,-0.655020206,0.512454745,0.999901938,23,147,185,108,27.30458673,150.2042231,127.6058913,121.5046424,0.01,UP_pEhEx_DOWN_CmasM
EHI_140670A,22.64530654,-0.123400577,0.705835354,-0.174829125,0.861213902,0.999901938,21,18,31,23,24.93027484,18.39235385,21.3826088,25.87598866,0.01,UP_pEhEx_DOWN_CmasM
EHI_140680A,11.92720659,-0.035607771,0.921665074,-0.038634176,0.969182054,0.999901938,13,8,17,11,15.43302728,8.174379488,11.72594676,12.37547284,0.01,UP_pEhEx_DOWN_CmasM
EHI_140700A,16.86478928,-0.291817963,0.816394353,-0.357447307,0.720756967,0.999901938,17,10,26,17,20.18165106,10.21797436,17.93380093,19.12573075,0.01,UP_pEhEx_DOWN_CmasM
EHI_140710A,13.957835,0.069555586,0.847224458,0.08209818,0.93456864,0.999901938,13,13,23,10,15.43302728,13.28336667,15.86451621,11.25042985,0.01,DOWN_pEhEx_UP_CmasM
EHI_140720A,125.5280625,0.430789403,0.612221848,0.703649183,0.481651274,0.999901938,89,178,86,138,105.6568791,181.8799436,59.31949539,155.255932,0.01,DOWN_pEhEx_UP_CmasM
EHI_140740A,503.3954801,-0.630850026,0.413806351,-1.524505423,0.127382503,0.999901938,339,379,706,655,402.4458653,387.2612283,486.9716715,736.9031555,0.01,UP_pEhEx_DOWN_CmasM
