pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	U2AF84_1	U2AF84_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_174880A	23.7499536056087	4.65141306825266	0.940488864768884	0.964953104755609	2.35218372616402	3	5	24	28	3.44180379804813	5.79149527131624	17.0929618021364	30.7479109961198	96.5	UP_pEhEx_DOWN_U2AF84
EHI_100810A	63.2027278059552	238.848924491075	-0.95748355831007	0.964664549392692	-1.91803964950187	207	205	141	24	237.484462065321	237.451306123966	100.421150587551	26.3553522823884	96.47	DOWN_pEhEx_UP_U2AF84
EHI_073540A	10.9183558060433	52.898176175975	-0.958183304847371	0.964656873743974	-2.27646236460534	35	56	20	7	40.1543776438949	64.8647470387419	14.2441348351136	7.68697774902994	96.47	DOWN_pEhEx_UP_U2AF84
EHI_076020A	658.817503850147	314.297228206866	1.01940977520143	0.964352554865016	1.06774933690391	222	319	789	696	254.693481055562	369.497398309976	561.931119245233	764.305216189263	96.44	UP_pEhEx_DOWN_U2AF84
EHI_134840A	73.9853630295303	15.1403874226191	0.885883964596445	0.964196368004275	2.28883775944564	8	18	69	91	9.17814346146169	20.8493829767385	49.142265181142	99.9307107373893	96.42	UP_pEhEx_DOWN_U2AF84
EHI_048300A	78.2738723445912	20.911391706453	0.885567435265271	0.96411276151094	1.90424173911746	15	21	78	93	17.2090189902407	24.3242801395282	55.5521258569432	102.126990094255	96.41	UP_pEhEx_DOWN_U2AF84
EHI_148470A	694.482562090352	231.824498198459	1.01209795705054	0.963526196031626	1.58290543762742	162	237	564	909	185.857405094599	274.51687586039	401.684602350204	998.20896769546	96.35	UP_pEhEx_DOWN_U2AF84
EHI_179990A	37.2163263043635	1.17553493692836	1.2381975009821	0.963420195572637	4.98454632953007	2	0	42	41	2.29453586536542	0.579149527131624	29.9126831537386	45.0237268157468	96.34	UP_pEhEx_DOWN_U2AF84
EHI_044220A	4.83177087824227	28.8683328196259	-0.945079304011411	0.963156661212187	-2.57886384359136	34	16	9	3	39.0071097112122	18.532784868212	6.40986067580113	3.29441903529855	96.32	DOWN_pEhEx_UP_U2AF84
EHI_095830A	301.769592591608	97.8260998383213	1.00805426263917	0.963086247081938	1.62515611170909	52	116	384	304	59.657932499501	134.362690294537	273.487388834182	333.834462243586	96.31	UP_pEhEx_DOWN_U2AF84
EHI_050000A	58.8700112444342	5.3064210287354	0.881646580485785	0.963050750887704	3.47172184986567	0	9	54	73	0.573633966341356	10.4246914883692	38.4591640548068	80.164196525598	96.31	UP_pEhEx_DOWN_U2AF84
EHI_202460A	871.030553985287	315.909341239317	1.00496027250591	0.962750101291411	1.46321272923289	189	354	764	1103	216.833639277032	410.03786520919	544.125950701341	1211.24806531143	96.28	UP_pEhEx_DOWN_U2AF84
EHI_127360A	24.7788935415807	8.11667791864424	1.00145244249144	0.962367811275741	1.61015049631226	7	7	33	24	8.03087552877898	8.10809337984274	23.5028224779375	26.3553522823884	96.24	UP_pEhEx_DOWN_U2AF84
EHI_188170A	475.893651270567	196.15946647125	1.00072407532457	0.962287691564235	1.27861224794082	154	184	510	542	176.679261633138	213.127025984438	363.225438295398	595.191705710604	96.23	UP_pEhEx_DOWN_U2AF84
