NOISeq_CmasM_1	NOISeq_CmasM_2	NOISeq_CmasM_3	NOISeq_pEhEx_1	NOISeq_pEhEx_2	NOISeq_pEhEx_3	DESeq2_CmasM_1	DESeq2_CmasM_2	DESeq2_CmasM_3	DESeq2_pEhEx_1	DESeq2_pEhEx_2	DESeq2_pEhEx_3
EHI_030820A	1087.87033025456	1074.33881608956	864.886698936596	1678.05315557604	2182.52394582876	2442.38129230003	721.295544584542	718.084215464587	1347.22666800312	1081.97173650444	1453.64833397112	3578.12762531845
EHI_031240A	123.34965333554	134.377358449245	72.4192738482502	228.333217298306	413.751190709406	560.153192197071	80.2878344061789	88.3266527009156	110.710464666553	145.73808298473	273.998768538343	819.939143943453
EHI_032670A	2.36759222293605	10.7328187046498	9.50932361229772	31.2681457721173	85.9802581535866	22.9664324085843	0	5.73549692863088	11.9686988828706	19.0756653121374	56.9820447845226	30.2245998240025
EHI_032780A	8.85831960465218	40.2363748249474	22.6836737371149	65.8180991491	152.929799476259	81.0593140314427	5.1798602842696	29.8245840288806	26.1815288062793	48.0706765865864	117.601241363802	92.9987686892386
EHI_033240A	5.04884215352632	8.60196850935729	6.07433068075782	12.8999714893055	27.070648899874	19.7771625776005	2.5899301421348	5.73549692863088	4.48826208107646	9.15631934982597	21.8229107685406	17.8247639987707
EHI_033740A	223.287561321077	203.289181391722	147.038417901088	353.703485047385	380.240559396199	542.598350728432	147.626018101684	135.357727515689	225.161147734002	228.144957133164	253.388241701388	786.614585163143
EHI_035160A	29.9935402168517	23.9026316204925	127.599060463933	16.0662706914539	14.1098447742694	3.57465491760377	49.2086727005612	39.00137911469	50.1189265720204	24.4168515995359	21.8229107685406	0
EHI_035510A	98.5820229878979	117.796828322542	62.4606450487173	190.890158455136	207.840974547173	349.680022762566	67.3381836955049	81.4440563865585	88.2691542611703	128.188470897564	144.273687858685	474.293720315117
EHI_035670A	133.129295101781	92.7075635200212	86.3024832037722	302.760517044261	480.926363357836	494.336807112547	97.1223803300551	67.6788637578444	112.954595707091	216.699557945881	356.440875886163	617.66682204436
EHI_036630A	3.89946809455958	3.8783399783792	17.4770126064918	191.019136641917	291.820624776314	47.4955907248555	0	0	71.8121932972233	57.9900225488978	92.1411788005047	191.422465552016
EHI_039020A	63.3873796690701	285.823726773269	174.027054187355	353.837477713571	2963.69959985322	825.889389896103	33.6690918477524	158.299715230212	347.840311283425	189.230599896403	1647.62976302481	1560.82933450105
EHI_039330A	908.83667677579	1080.58676800279	5305.97833454697	715.286669341744	931.487860250178	137.497458228126	1498.27458722498	1796.35763804719	2283.77735558774	1145.30294534073	1540.93997704528	54.2492817353892
EHI_040280A	94.906545392184	79.3407012104934	65.466649254963	183.94916370854	186.295571793939	259.807048020898	47.9137076294938	40.1484785004162	141.380255553908	91.5631934982597	95.7783305952614	535.517909702199
